"id","iata","icao","name"
2324,EF,EFA,Far Eastern Air Transport
2350,AY,FIN,Finnair
2351,FC,WBA,Finncomm Airlines
2353,FY,FFM,Firefly
2354,"7F",FAB,First Air
2357,DP,FCA,First Choice Airways
2395,B5,FLT,Flightline
2404,RF,FWL,Florida West International Airways
2417,D7,XAX,AirAsia X
2418,TE,LIL,FlyLal
2419,LF,NDC,FlyNordic
2420,F7,BBO,Flybaboo
2421,BE,BEE,Flybe
2425,B4,GSM,Flyglobespan
2439,VY,FOS,Formosa Airlines
2454,FP,FRE,Freedom Air
2468,F9,FFT,Frontier Airlines
2470,"2F",FTA,Frontier Flying Service
2486,GT,GBL,GB Airways
2520,GA,GIA,Garuda Indonesia
2524,"4G",GZP,Gazpromavia
2538,A9,TGZ,Georgian Airways
2541,QB,GFG,Georgian National Airlines
2547,ST,GMI,Germania
2548,"4U",GWI,Germanwings
2556,G0,GHB,Ghana International Airlines
2575,G8,GOW,Go Air
2577,G7,GJS,GoJet Airlines
2581,G3,GLO,Gol Transportes Aéreos
2585,DC,GAO,Golden Air
2607,ZK,GLA,Great Lakes Airlines
2622,TA,TAT,Grupo TACA
2638,GF,GBA,Gulf Air Bahrain
2657,H6,HAG,Hageland Aviation Services
2660,HU,CHH,Hainan Airlines
2663,"2T",HAM,Haiti Ambassador Airlines
2674,"4R",HHI,Hamburg International
2681,X3,HLX,TUIfly
2682,HF,HLF,Hapagfly
2688,HA,HAL,Hawaiian Airlines
2692,BH,"",Hawkair
2704,"8H",HFR,Heli France
2731,JB,JBA,Helijet
2747,T4,HEJ,Hellas Jet
2748,HW,FHE,Hello
2750,"2L",OAW,Helvetic Airways
2757,UD,HER,Hex'Air
2765,HD,ADO,Hokkaido International Airlines
2773,HX,CRK,Hong Kong Airlines
2774,UO,HKE,Hong Kong Express Airways
2778,QX,QXE,Horizon Air
2782,BN,HZA,Horizon Airlines
2822,IB,IBE,Iberia Airlines
2825,TY,IWD,Iberworld
2826,FW,IBX,Ibex Airlines
2835,FI,ICE,Icelandair
2845,IK,ITX,Imair Airlines
2850,"6E",IGO,IndiGo Airlines
2853,IC,IAC,Indian Airlines
2855,I9,IBU,Indigo
2857,QZ,AWQ,Indonesia AirAsia
2858,IO,IAA,Indonesian Airlines
2881,D6,ILN,Interair South Africa
2883,ZA,SUW,Interavia Airlines
2896,ID,ITK,Interlink Airlines
2916,"3L",ISK,Intersky
2922,IR,IRA,Iran Air
2923,EP,IRC,Iran Aseman Airlines
2926,IA,IAW,Iraqi Airways
2937,IS,"",Island Airlines
2942,"8L",CGP,Cargo Plus Aviation
2948,IF,ISW,Islas Airways
2950,WC,ISV,Islena De Inversiones
2954,"6H",ISR,Israir
2958,GI,IKA,Itek Air
2969,JC,JEX,JAL Express
2970,JO,JAZ,JALways
2987,JL,JAL,Japan Airlines
2988,JL,JAL,Japan Airlines Domestic
2989,EG,JAA,Japan Asia Airways
2990,NU,JTA,Japan Transocean Air
2993,J9,JZR,Jazeera Airways
2994,"7C",JJA,Jeju Air
3000,"9W",JAI,Jet Airways
3001,QJ,"",Jet Airways
